h,p,d1,d2,w1,w2,BW1,BW2,RF1,RF2
1.2,15.0,13.0,9.0,1.0,1.0,0.75,2.25,4.25,8.5
1.2,15.0,13.0,9.0,1.0,2.5,1.0,2.5,4.25,12.5
1.2,15.0,13.0,9.0,1.0,2.0,1.0,3.0,4.25,11.25
1.2,15.0,13.0,9.0,1.0,3.0,1.0,1.75,4.25,12.75
1.2,16.0,15.0,12.0,1.0,1.5,0.75,2.5,3.0,6.25
1.2,16.0,15.0,12.0,1.0,1.0,0.75,1.75,3.0,5.5
1.2,16.0,15.0,12.0,1.0,2.5,0.75,3.5,3.0,8.25
1.2,16.0,15.0,12.0,1.0,2.0,0.75,3.0,3.0,7.25
1.2,20.0,15.0,8.0,1.5,1.0,0.7857142857142891,1.5714285714285428,4.53571428571429,9.642857142857142
1.2,20.0,15.0,8.0,1.0,1.0,1.0,1.5,4.0,9.5
1.2,20.0,15.0,8.0,2.5,1.0,0.5,2.0,5.0,9.5
1.2,20.0,15.0,8.0,2.0,1.0,1.0,2.0,5.0,9.5
1.2,20.0,15.0,8.0,3.0,1.0,1.0,2.5,5.5,9.5
1.2,20.0,19.0,15.0,1.0,1.5,0.75,1.75,2.25,5.0
1.2,20.0,19.0,15.0,1.0,1.0,0.75,1.25,2.25,4.5
1.2,20.0,19.0,15.0,1.0,2.5,0.75,2.25,2.25,6.0
1.2,20.0,19.0,15.0,1.0,2.0,0.75,2.0,2.25,5.5
1.2,20.0,19.0,15.0,1.0,3.5,0.75,2.75,2.25,7.5
1.2,20.0,19.0,15.0,1.0,3.0,0.75,2.5,2.25,6.75
1.2,20.0,19.0,15.0,1.0,4.0,0.75,2.5,2.25,8.0
1.6,15.0,13.0,9.0,1.0,1.5,1.0,2.5,4.0,9.25
1.6,15.0,13.0,9.0,1.0,1.0,1.0,2.25,4.0,8.0
1.6,15.0,13.0,9.0,1.0,2.5,1.0,2.5,4.0,12.0
1.6,15.0,13.0,9.0,1.0,2.0,1.0,3.0,4.0,10.75
1.6,15.0,13.0,9.0,1.0,3.0,1.0,1.75,4.0,12.25
1.6,16.0,15.0,12.0,1.0,1.5,1.0,2.25,3.0,6.0
1.6,16.0,15.0,12.0,1.0,1.0,1.0,1.75,3.0,5.25
1.6,16.0,15.0,12.0,1.0,2.5,0.75,3.25,3.0,8.0
1.6,16.0,15.0,12.0,1.0,2.0,1.0,2.75,3.0,6.75
1.6,20.0,15.0,8.0,1.5,1.0,1.0,1.5,4.5,9.0
1.6,20.0,15.0,8.0,1.0,1.0,0.5,1.5,4.0,9.0
1.6,20.0,15.0,8.0,2.5,1.0,1.0,2.0,5.0,9.5
1.6,20.0,15.0,8.0,2.0,1.0,1.0,2.0,4.5,9.5
1.6,20.0,15.0,8.0,3.0,1.0,1.0,2.0,5.0,9.5
1.6,20.0,19.0,15.0,1.0,1.5,0.75,1.75,2.25,4.75
1.6,20.0,19.0,15.0,1.0,1.0,0.75,1.25,2.25,4.25
1.6,20.0,19.0,15.0,1.0,2.5,0.75,2.25,2.25,5.75
1.6,20.0,19.0,15.0,1.0,2.0,0.75,1.75,2.25,5.25
1.6,20.0,19.0,15.0,1.0,3.5,0.75,2.75,2.25,7.0
1.6,20.0,19.0,15.0,1.0,3.0,0.75,2.5,2.25,6.5
1.6,20.0,19.0,15.0,1.0,4.0,0.75,2.5,2.25,7.75
1.6,5.0,4.5,2.5,0.15,0.15,3.0,2.0,10.0,23.0
1.6,5.0,4.5,2.5,0.1,0.1,3.0,2.0,10.0,22.0
1.6,5.0,4.5,2.5,0.25,0.25,3.0,3.0,11.0,25.0
1.6,5.0,4.5,2.5,0.2,0.2,4.0,3.0,11.0,25.0
1.6,5.0,4.5,2.5,0.35,0.35,4.0,4.0,11.0,27.0
1.6,5.0,4.5,2.5,0.3,0.3,4.0,4.0,11.0,26.0
1.6,5.0,4.5,2.5,0.4,0.4,4.0,6.0,12.0,30.0
